line_number,mode1,value1,mode2,value2,mode3,value3,mode4,value4
684,40,1,38,1,74,0,40,1
685,4,1,21,0,0,1,28,1
686,65,1,12,0,65,1,60,1
687,27,1,66,1,17,1,1,1
688,17,1,66,1,27,1,17,1
689,42,0,66,0,28,1,27,0
690,60,1,27,1,40,1,41,0
691,57,1,59,1,36,1,41,1
692,27,0,66,0,64,1,65,1
693,66,0,26,0,12,0,0,1
694,49,0,65,1,25,1,64,0
695,14,1,48,1,64,1,40,1
696,41,1,48,1,27,1,26,1
697,40,0,40,1,50,1,44,1
698,40,1,36,1,48,1,17,1
699,48,1,27,1,0,0,41,0
700,66,1,38,1,41,1,53,1
701,48,1,64,1,28,1,27,1
702,26,1,65,1,36,1,66,1
703,64,1,48,1,17,1,23,1
704,38,1,66,1,65,1,53,1
705,48,1,27,1,27,1,26,1
706,41,0,51,1,65,0,59,0
707,27,1,21,0,64,1,2,1
708,27,1,76,0,38,0,41,1
709,60,1,28,1,28,1,64,1
710,18,0,39,0,65,1,25,0
711,74,1,38,1,27,1,17,1
712,17,1,48,1,27,1,36,1
713,39,1,63,1,0,1,65,1
714,27,1,49,1,40,1,8,0
715,44,1,64,1,30,1,64,1
716,66,1,37,0,41,0,26,0
717,5,1,60,1,26,1,17,1
718,44,1,17,1,38,0,53,0
719,48,1,65,1,26,1,27,0
720,62,1,61,1,64,1,0,1
721,27,1,72,1,26,1,27,1
722,20,1,36,0,38,1,40,1
723,61,1,27,1,31,0,17,1
724,43,1,62,0,24,0,4,1
725,38,1,66,1,36,1,55,1
726,66,1,65,0,17,1,41,0
727,60,1,39,1,27,1,61,0
728,41,1,1,1,66,1,65,1
729,41,1,24,1,48,1,3,1
730,49,1,19,1,64,1,65,1
731,9,1,49,1,7,1,28,1
732,27,1,65,1,55,1,44,1
733,64,1,75,0,8,1,52,1
734,65,0,66,1,9,1,38,1
735,27,0,64,1,73,0,52,0
736,48,1,38,1,8,1,25,1
737,65,1,26,1,17,1,20,1
738,49,0,65,1,65,1,76,0
739,41,1,53,1,44,1,3,1
740,21,0,64,1,40,1,4,0
741,48,0,38,0,50,0,65,1
742,48,1,75,1,64,1,65,1
743,74,0,27,1,54,1,8,1
744,48,1,9,1,65,0,40,1
745,38,1,60,1,26,1,24,1
746,48,0,38,1,29,0,65,1
747,49,1,36,1,27,1,10,1
748,65,1,44,0,27,0,64,1
749,49,0,36,0,0,1,54,0
750,43,1,53,0,64,1,48,0
751,36,0,53,0,27,1,44,0
752,37,1,59,1,40,1,65,0
753,28,0,66,0,65,0,37,1
754,20,0,76,0,39,0,0,1
755,68,1,36,1,17,1,64,1
756,17,1,28,1,66,1,36,0
757,8,1,66,0,64,0,36,0
758,27,1,40,0,49,0,64,1
759,10,1,27,1,20,0,27,1
760,66,1,40,1,41,1,40,1
761,62,1,65,1,27,1,40,0
762,0,1,49,1,37,1,61,1
763,54,1,65,1,15,1,27,1
764,66,1,0,1,27,1,24,1
765,13,0,32,1,8,1,64,0
766,17,0,10,1,38,0,60,0
767,64,0,28,1,20,0,39,0
768,48,1,26,0,28,0,0,0
769,40,1,69,1,40,1,38,1
770,49,0,26,1,65,0,3,0
